transaction_id,vendor_name,amount_ghs,timestamp,approval_status,category,is_fraud_label,hour,day_of_week,vendor_daily_transaction_count,predicted_anomaly,is_predicted_fraud
3e699415-9a12-462a-a820-9d99c9efb8a3,Flores-Johnson,4916.0,2026-05-24 09:00:00,Pending,IT Equipment,True,9,6,10,-1,True
95ac9029-30da-41af-ba08-612716401062,Flores-Johnson,4994.0,2026-05-24 09:15:00,Flagged,Logistics,True,9,6,10,-1,True
99f36e09-5c45-4537-a1bc-228d06d2689b,Flores-Johnson,4997.0,2026-05-24 09:30:00,Flagged,IT Equipment,True,9,6,10,-1,True
d9e4d771-991e-4654-8e86-aa4d3ccb244f,Flores-Johnson,4948.0,2026-05-24 09:45:00,Approved,Marketing,True,9,6,10,-1,True
617bd990-a972-4f9e-8415-a7a073d14c33,Flores-Johnson,4944.0,2026-05-24 10:00:00,Pending,Marketing,True,10,6,10,-1,True
cd50ca77-4f5f-46b0-9191-6b794d90ef8a,Flores-Johnson,4944.0,2026-05-24 10:15:00,Approved,Office Supplies,True,10,6,10,-1,True
dab0b5f8-cb70-4bac-bf7f-c303bc994df6,Flores-Johnson,4931.0,2026-05-24 10:30:00,Approved,IT Equipment,True,10,6,10,-1,True
54efc586-e75d-4dc0-b2e6-b4eaf73a6d7b,Flores-Johnson,4975.0,2026-05-24 10:45:00,Approved,Logistics,True,10,6,10,-1,True
d1a190c8-8ee0-46eb-851c-3dffdcc5feb2,Flores-Johnson,4939.0,2026-05-24 11:00:00,Approved,IT Equipment,True,11,6,10,-1,True
54182901-9e41-4772-bbfb-cc5ac2d92d61,Flores-Johnson,4921.0,2026-05-24 11:15:00,Approved,IT Equipment,True,11,6,10,-1,True
a94929e5-1898-4010-a368-a11b40b0da8d,Vargas LLC,438143.74,2026-05-26 16:50:54,Flagged,Marketing,True,16,1,1,-1,True
6b973701-783b-479a-8f16-073a597243ee,Dixon-Hernandez,29894.13,2026-06-01 00:49:19,Pending,Marketing,False,0,0,2,-1,True
7a008150-c5fa-418a-bda4-40cab12f9b66,Dixon-Hernandez,29894.13,2026-06-01 05:49:19,Approved,Office Supplies,True,5,0,2,-1,True
66cfc5e2-e487-43cb-b91a-1d0881ab0461,"Warner, Huffman and Ray",480922.2,2026-06-09 20:18:52,Flagged,Marketing,True,20,1,1,-1,True
eb0f747f-639f-4439-beb2-42abb8757212,"Boyer, Bradley and Valenzuela",259799.58,2026-06-15 01:21:56,Approved,Marketing,True,1,0,1,-1,True
0ed56c3a-5965-408d-965c-157cd9dfc69c,Flynn-Pearson,361964.26,2026-06-18 11:27:11,Flagged,IT Equipment,True,11,3,1,-1,True
94b20e2c-eea1-46cb-b65a-ee6552f803d1,Bates-Henry,17248.69,2026-06-22 12:46:51,Flagged,Logistics,False,12,0,2,-1,True
ff20e800-f4cf-41c9-a9cf-408da46f2204,Bates-Henry,17248.69,2026-06-22 21:46:51,Approved,Marketing,True,21,0,2,-1,True
0424c56c-19df-4281-bdcf-4b8b601af91a,Mills-Rhodes,7913.18,2026-06-27 19:04:33,Flagged,Office Supplies,True,19,5,2,-1,True
6918d995-cae9-4fa0-a3fa-23a6cf28e405,Evans PLC,325329.33,2026-06-28 04:53:24,Approved,Logistics,True,4,6,1,-1,True
ab403f70-8482-431d-9032-4b900991d3bc,"Edwards, Perry and King",363485.84,2026-07-09 04:59:45,Pending,Office Supplies,True,4,3,1,-1,True
9b8b92eb-b135-4a04-814e-46b4dd6ac711,"Lamb, Farrell and Meadows",320238.81,2026-07-14 03:14:43,Flagged,Logistics,True,3,1,1,-1,True
b36805cf-2bc6-4711-b0e2-53631d80c501,Gray-Myers,404138.2,2026-07-14 18:12:37,Approved,Marketing,True,18,1,1,-1,True
58e9c566-decd-4b8e-9bf3-a2adb5c9cd9f,Montes-Harris,411174.38,2026-07-20 20:47:27,Approved,Office Supplies,True,20,0,1,-1,True
2f847f1c-515a-406d-94e3-4199f9dfd562,"Harris, Crawford and Cain",276230.88,2026-07-23 23:13:27,Pending,Office Supplies,True,23,3,1,-1,True
ad41e807-b693-4162-b752-700c7b8a518c,Garcia Inc,4571.63,2026-07-25 00:12:12,Approved,Marketing,False,0,5,2,-1,True
4961468d-1284-4d46-a04d-8c07989a0e2e,Garcia Inc,4571.63,2026-07-25 01:12:12,Flagged,IT Equipment,True,1,5,2,-1,True
df244ded-48e9-4adc-8fb4-45920878bd98,"Martin, Jordan and Edwards",25598.62,2026-08-02 08:22:24,Flagged,Marketing,False,8,6,2,-1,True
b4f10cc7-d62d-49b1-8d6f-8dbfba9e28c4,"Martin, Jordan and Edwards",25598.62,2026-08-02 10:22:24,Flagged,Marketing,True,10,6,2,-1,True
e534d0b4-f376-400e-95ff-cb7a36797fb2,Figueroa and Sons,44538.68,2026-08-17 23:04:32,Approved,Logistics,False,23,0,1,-1,True
